abstract,title,author,year,category,id
"  As one of the newest members in the field of artificial immune systems (AIS),
the Dendritic Cell Algorithm (DCA) is based on behavioural models of natural
dendritic cells (DCs). Unlike other AIS, the DCA does not rely on training
data, instead domain or expert knowledge is required to predetermine the
mapping between input signals from a particular instance to the three
categories used by the DCA. This data preprocessing phase has received the
criticism of having manually over-?tted the data to the algorithm, which is
undesirable. Therefore, in this paper we have attempted to ascertain if it is
possible to use principal component analysis (PCA) techniques to automatically
categorise input data while still generating useful and accurate classication
results. The integrated system is tested with a biometrics dataset for the
stress recognition of automobile drivers. The experimental results have shown
the application of PCA to the DCA for the purpose of automated data
preprocessing is successful.
","PCA 4 DCA: The Application Of Principal Component Analysis To The
  Dendritic Cell Algorithm","Feng Gu, Julie Greensmith, Robert Oates and Uwe Aickelin",2009,Artificial Intelligence,
"  We outline initial concepts for an immune inspired algorithm to evaluate and
predict oil price time series data. The proposed solution evolves a short term
pool of trackers dynamically, with each member attempting to map trends and
anticipate future price movements. Successful trackers feed into a long term
memory pool that can generalise across repeating trend patterns. The resulting
sequence of trackers, ordered in time, can be used as a forecasting tool.
Examination of the pool of evolving trackers also provides valuable insight
into the properties of the crude oil market.
",Oil Price Trackers Inspired by Immune Memory,"WIlliam Wilson, Phil Birkin, Uwe Aickelin",2006,Artificial Intelligence,
"  Malicious users try to compromise systems using new techniques. One of the
recent techniques used by the attacker is to perform complex distributed
attacks such as denial of service and to obtain sensitive data such as password
information. These compromised machines are said to be infected with malicious
software termed a ""bot"". In this paper, we investigate the correlation of
behavioural attributes such as keylogging and packet flooding behaviour to
detect the existence of a single bot on a compromised machine by applying (1)
Spearman's rank correlation (SRC) algorithm and (2) the Dendritic Cell
Algorithm (DCA). We also compare the output results generated from these two
methods to the detection of a single bot. The results show that the DCA has a
better performance in detecting malicious activities.
",Performance Evaluation of DCA and SRC on a Single Bot Detection,"Yousof Al-Hammadi, Uwe Aickelin, Julie Greensmith",2010,Artificial Intelligence,
"  Accurate immunological models offer the possibility of performing
highthroughput experiments in silico that can predict, or at least suggest, in
vivo phenomena. In this chapter, we compare various models of immunological
memory. We first validate an experimental immunological simulator, developed by
the authors, by simulating several theories of immunological memory with known
results. We then use the same system to evaluate the predicted effects of a
theory of immunological memory. The resulting model has not been explored
before in artificial immune systems research, and we compare the simulated in
silico output with in vivo measurements. Although the theory appears valid, we
suggest that there are a common set of reasons why immunological memory models
are a useful support tool; not conclusive in themselves.
",Modelling Immunological Memory,"Simon Garret, Martin Robbins, Joanne Walker, William Wilson, Uwe
  Aickelin",2006,Artificial Intelligence,
"  In this paper we outline initial concepts for an immune inspired algorithm to
evaluate price time series data. The proposed solution evolves a short term
pool of trackers dynamically through a process of proliferation and mutation,
with each member attempting to map to trends in price movements. Successful
trackers feed into a long term memory pool that can generalise across repeating
trend patterns. Tests are performed to examine the algorithm's ability to
successfully identify trends in a small data set. The influence of the long
term memory pool is then examined. We find the algorithm is able to identify
price trends presented successfully and efficiently.
",Price Trackers Inspired by Immune Memory,"William Wilson, Phil Birkin, Uwe Aickelin",2006,Artificial Intelligence,
"  The need for integration of ontologies with nonmonotonic rules has been
gaining importance in a number of areas, such as the Semantic Web. A number of
researchers addressed this problem by proposing a unified semantics for hybrid
knowledge bases composed of both an ontology (expressed in a fragment of
first-order logic) and nonmonotonic rules. These semantics have matured over
the years, but only provide solutions for the static case when knowledge does
not need to evolve. In this paper we take a first step towards addressing the
dynamics of hybrid knowledge bases. We focus on knowledge updates and,
considering the state of the art of belief update, ontology update and rule
update, we show that current solutions are only partial and difficult to
combine. Then we extend the existing work on ABox updates with rules, provide a
semantics for such evolving hybrid knowledge bases and study its basic
properties. To the best of our knowledge, this is the first time that an update
operator is proposed for hybrid knowledge bases.
",Towards Closed World Reasoning in Dynamic Open Worlds (Extended Version),Martin Slota and Jo\~ao Leite,2010,Artificial Intelligence,
"  The dendritic cell algorithm is an immune-inspired technique for processing
time-dependant data. Here we propose it as a possible solution for a robotic
classification problem. The dendritic cell algorithm is implemented on a real
robot and an investigation is performed into the effects of varying the
migration threshold median for the cell population. The algorithm performs well
on a classification task with very little tuning. Ways of extending the
implementation to allow it to be used as a classifier within the field of
robotic security are suggested.
",The Application of a Dendritic Cell Algorithm to a Robotic Classifier,"Robert Oates, Julie Greensmith, Uwe Aickelin, Jonathan M. Garibaldi,
  Graham Kendall",2007,Artificial Intelligence,
"  In this paper the author presents a kind of Soft Computing Technique, mainly
an application of fuzzy set theory of Prof. Zadeh [16], on a problem of Medical
Experts Systems. The choosen problem is on design of a physician's decision
model which can take crisp as well as fuzzy data as input, unlike the
traditional models. The author presents a mathematical model based on fuzzy set
theory for physician aided evaluation of a complete representation of
information emanating from the initial interview including patient past
history, present symptoms, and signs observed upon physical examination and
results of clinical and diagnostic tests.
",A Soft Computing Model for Physicians' Decision Process,Siddharths Sankar Biswas,2010,Artificial Intelligence,
"  A cellular automata (CA) configuration is constructed that exhibits emergent
failover. The configuration is based on standard Game of Life rules. Gliders
and glider-guns form the core messaging structure in the configuration. The
blinker is represented as the basic computational unit, and it is shown how it
can be recreated in case of a failure. Stateless failover using primary-backup
mechanism is demonstrated. The details of the CA components used in the
configuration and its working are described, and a simulation of the complete
configuration is also presented.
",Failover in cellular automata,Shailesh Kumar and Shrisha Rao,2011,Artificial Intelligence,
"  The basic unit of meaning on the Semantic Web is the RDF statement, or
triple, which combines a distinct subject, predicate and object to make a
definite assertion about the world. A set of triples constitutes a graph, to
which they give a collective meaning. It is upon this simple foundation that
the rich, complex knowledge structures of the Semantic Web are built. Yet the
very expressiveness of RDF, by inviting comparison with real-world knowledge,
highlights a fundamental shortcoming, in that RDF is limited to statements of
absolute fact, independent of the context in which a statement is asserted.
This is in stark contrast with the thoroughly context-sensitive nature of human
thought. The model presented here provides a particularly simple means of
contextualizing an RDF triple by associating it with related statements in the
same graph. This approach, in combination with a notion of graph similarity, is
sufficient to select only those statements from an RDF graph which are
subjectively most relevant to the context of the requesting process.
",The Dilated Triple,"Marko A. Rodriguez, Alberto Pepe, Joshua Shinavier",2010,Artificial Intelligence,
"  The Dendritic Cell Algorithm (DCA) is an immune-inspired algorithm, developed
for the purpose of anomaly detection. The algorithm performs multi-sensor data
fusion and correlation which results in a 'context aware' detection system.
Previous applications of the DCA have included the detection of potentially
malicious port scanning activity, where it has produced high rates of true
positives and low rates of false positives. In this work we aim to compare the
performance of the DCA and of a Self-Organizing Map (SOM) when applied to the
detection of SYN port scans, through experimental analysis. A SOM is an ideal
candidate for comparison as it shares similarities with the DCA in terms of the
data fusion method employed. It is shown that the results of the two systems
are comparable, and both produce false positives for the same processes. This
shows that the DCA can produce anomaly detection results to the same standard
as an established technique.
","The DCA:SOMe Comparison A comparative study between two
  biologically-inspired algorithms","Julie Greensmith, Jan Feyereisl, Uwe Aickelin",2008,Artificial Intelligence,
"  The search for patterns or motifs in data represents a problem area of key
interest to finance and economic researchers. In this paper we introduce the
Motif Tracking Algorithm, a novel immune inspired pattern identification tool
that is able to identify unknown motifs of a non specified length which repeat
within time series data. The power of the algorithm comes from the fact that it
uses a small number of parameters with minimal assumptions regarding the data
being examined or the underlying motifs. Our interest lies in applying the
algorithm to financial time series data to identify unknown patterns that
exist. The algorithm is tested using three separate data sets. Particular
suitability to financial data is shown by applying it to oil price data. In all
cases the algorithm identifies the presence of a motif population in a fast and
efficient manner due to the utilisation of an intuitive symbolic
representation. The resulting population of motifs is shown to have
considerable potential value for other applications such as forecasting and
algorithm seeding.
",The Motif Tracking Algorithm,"William Wilson, Philip Birkin, Uwe Aickelin",2008,Artificial Intelligence,
"  A new emerging paradigm of Uncertain Risk of Suspicion, Threat and Danger,
observed across the field of information security, is described. Based on this
paradigm a novel approach to anomaly detection is presented. Our approach is
based on a simple yet powerful analogy from the innate part of the human immune
system, the Toll-Like Receptors. We argue that such receptors incorporated as
part of an anomaly detector enhance the detector's ability to distinguish
normal and anomalous behaviour. In addition we propose that Toll-Like Receptors
enable the classification of detected anomalies based on the types of attacks
that perpetrate the anomalous behaviour. Classification of such type is either
missing in existing literature or is not fit for the purpose of reducing the
burden of an administrator of an intrusion detection system. For our model to
work, we propose the creation of a taxonomy of the digital Acytota, based on
which our receptors are created.
",ToLeRating UR-STD,"Jan Feyereisl, Uwe Aickelin",2008,Artificial Intelligence,
"  In order to get strategic positioning for competition in business
organization, the information system must be ahead in this information age
where the information as one of the weapons to win the competition and in the
right hand the information will become a right bullet. The information system
with the information technology support isn't enough if just only on internet
or implemented with internet technology. The growth of information technology
as tools for helping and making people easy to use must be accompanied by
wanting to make fun and happy when they make contact with the information
technology itself. Basically human like to play, since childhood human have
been playing, free and happy and when human grow up they can't play as much as
when human was in their childhood. We have to develop the information system
which is not perform information system itself but can help human to explore
their natural instinct for playing, making fun and happiness when they interact
with the information system. Virtual information system is the way to present
playing and having fun atmosphere on working area.
",Virtual information system on working area,Spits Warnars,2008,Artificial Intelligence,
"  Earthquake DSS is an information technology environment which can be used by
government to sharpen, make faster and better the earthquake mitigation
decision. Earthquake DSS can be delivered as E-government which is not only for
government itself but in order to guarantee each citizen's rights for
education, training and information about earthquake and how to overcome the
earthquake. Knowledge can be managed for future use and would become mining by
saving and maintain all the data and information about earthquake and
earthquake mitigation in Indonesia. Using Web technology will enhance global
access and easy to use. Datawarehouse as unNormalized database for
multidimensional analysis will speed the query process and increase reports
variation. Link with other Disaster DSS in one national disaster DSS, link with
other government information system and international will enhance the
knowledge and sharpen the reports.
",Indonesian Earthquake Decision Support System,Spits Warnars,2009,Artificial Intelligence,
"  A combined Short-Term Learning (STL) and Long-Term Learning (LTL) approach to
solving mobile-robot navigation problems is presented and tested in both the
real and virtual domains. The LTL phase consists of rapid simulations that use
a Genetic Algorithm to derive diverse sets of behaviours, encoded as variable
sets of attributes, and the STL phase is an idiotypic Artificial Immune System.
Results from the LTL phase show that sets of behaviours develop very rapidly,
and significantly greater diversity is obtained when multiple autonomous
populations are used, rather than a single one. The architecture is assessed
under various scenarios, including removal of the LTL phase and switching off
the idiotypic mechanism in the STL phase. The comparisons provide substantial
evidence that the best option is the inclusion of both the LTL phase and the
idiotypic system. In addition, this paper shows that structurally different
environments can be used for the two phases without compromising
transferability.
","Two-Timescale Learning Using Idiotypic Behaviour Mediation For A
  Navigating Mobile Robot","Amanda Whitbrook, Uwe Aickelin, Jonathan M. Garibaldi",2010,Artificial Intelligence,
"  Weighted logic programming, a generalization of bottom-up logic programming,
is a well-suited framework for specifying dynamic programming algorithms. In
this setting, proofs correspond to the algorithm's output space, such as a path
through a graph or a grammatical derivation, and are given a real-valued score
(often interpreted as a probability) that depends on the real weights of the
base axioms used in the proof. The desired output is a function over all
possible proofs, such as a sum of scores or an optimal score. We describe the
PRODUCT transformation, which can merge two weighted logic programs into a new
one. The resulting program optimizes a product of proof scores from the
original programs, constituting a scoring function known in machine learning as
a ``product of experts.'' Through the addition of intuitive constraining side
conditions, we show that several important dynamic programming algorithms can
be derived by applying PRODUCT to weighted logic programs corresponding to
simpler weighted logic programs. In addition, we show how the computation of
Kullback-Leibler divergence, an information-theoretic measure, can be
interpreted using PRODUCT.
",Products of Weighted Logic Programs,"Shay B. Cohen, Robert J. Simmons, Noah A. Smith",2011,Artificial Intelligence,
"  The Dendritic Cell Algorithm (DCA) is inspired by the function of the
dendritic cells of the human immune system. In nature, dendritic cells are the
intrusion detection agents of the human body, policing the tissue and organs
for potential invaders in the form of pathogens. In this research, and abstract
model of DC behaviour is developed and subsequently used to form an algorithm,
the DCA. The abstraction process was facilitated through close collaboration
with laboratory- based immunologists, who performed bespoke experiments, the
results of which are used as an integral part of this algorithm. The DCA is a
population based algorithm, with each agent in the system represented as an
'artificial DC'. Each DC has the ability to combine multiple data streams and
can add context to data suspected as anomalous. In this chapter the abstraction
process and details of the resultant algorithm are given. The algorithm is
applied to numerous intrusion detection problems in computer security including
the detection of port scans and botnets, where it has produced impressive
results with relatively low rates of false positives.
",Detecting Danger: The Dendritic Cell Algorithm,"Julie Greensmith, Uwe Aickelin, Steve Cayzer",2008,Artificial Intelligence,
"  Strategic Environmental Assessment is a procedure aimed at introducing
systematic assessment of the environmental effects of plans and programs. This
procedure is based on the so-called coaxial matrices that define dependencies
between plan activities (infrastructures, plants, resource extractions,
buildings, etc.) and positive and negative environmental impacts, and
dependencies between these impacts and environmental receptors. Up to now, this
procedure is manually implemented by environmental experts for checking the
environmental effects of a given plan or program, but it is never applied
during the plan/program construction. A decision support system, based on a
clear logic semantics, would be an invaluable tool not only in assessing a
single, already defined plan, but also during the planning process in order to
produce an optimized, environmentally assessed plan and to study possible
alternative scenarios. We propose two logic-based approaches to the problem,
one based on Constraint Logic Programming and one on Probabilistic Logic
Programming that could be, in the future, conveniently merged to exploit the
advantages of both. We test the proposed approaches on a real energy plan and
we discuss their limitations and advantages.
",Logic-Based Decision Support for Strategic Environmental Assessment,"Marco Gavanelli and Fabrizio Riguzzi and Michela Milano and Paolo
  Cagnoli",2010,Artificial Intelligence,
"  This paper develops automated testing and debugging techniques for answer set
solver development. We describe a flexible grammar-based black-box ASP fuzz
testing tool which is able to reveal various defects such as unsound and
incomplete behavior, i.e. invalid answer sets and inability to find existing
solutions, in state-of-the-art answer set solver implementations. Moreover, we
develop delta debugging techniques for shrinking failure-inducing inputs on
which solvers exhibit defective behavior. In particular, we develop a delta
debugging algorithm in the context of answer set solving, and evaluate two
different elimination strategies for the algorithm.
",Testing and Debugging Techniques for Answer Set Solver Development,"Robert Brummayer, Matti J\""arvisalo",2010,Artificial Intelligence,
"  In this paper we explore the use of Answer Set Programming (ASP) to
formalize, and reason about, psychological knowledge. In the field of
psychology, a considerable amount of knowledge is still expressed using only
natural language. This lack of a formalization complicates accurate studies,
comparisons, and verification of theories. We believe that ASP, a knowledge
representation formalism allowing for concise and simple representation of
defaults, uncertainty, and evolving domains, can be used successfully for the
formalization of psychological knowledge. To demonstrate the viability of ASP
for this task, in this paper we develop an ASP-based formalization of the
mechanics of Short-Term Memory. We also show that our approach can have rather
immediate practical uses by demonstrating an application of our formalization
to the task of predicting a user's interaction with a graphical interface.
","Formalization of Psychological Knowledge in Answer Set Programming and
  its Application",Marcello Balduccini and Sara Girotto,2010,Artificial Intelligence,
